idx,category,complexity,emotion,confidence,intensity,memories,systems,total_ms,from_cache,mode
1,warm_up,low,neutre,0.400,0.650,2,,0.82,False,core_only
2,warm_up,low,curiosité,0.500,0.300,2,,0.73,False,core_only
3,warm_up,low,neutre,0.400,0.650,2,,0.89,False,core_only
4,science,medium,neutre,0.400,0.650,2,proactive_curiosity|meta_cognition,1.18,False,core_only
5,science,medium,curiosité,0.500,0.300,2,proactive_curiosity|meta_cognition,1.69,False,core_only
6,science,high,curiosité,0.500,0.300,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,4.69,False,core_only
7,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,0.93,False,core_only
8,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,3.06,False,core_only
9,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,2.11,False,core_only
10,emotional,medium,tristesse,0.500,0.300,2,emotional_journal|contextual_empathy,21.57,False,core_only
11,emotional,low,joie,0.700,0.850,2,emotional_journal|contextual_empathy,1.85,False,core_only
12,emotional,medium,peur,0.500,0.300,2,emotional_journal|contextual_empathy,0.96,False,core_only
13,emotional,medium,amour,0.500,1.000,2,emotional_journal|contextual_empathy,1.13,False,core_only
14,daily_life,low,neutre,0.400,0.650,2,,1.34,False,core_only
15,daily_life,medium,curiosité,0.500,0.300,2,,2.94,False,core_only
16,creativity,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,3.38,False,core_only
17,creativity,medium,neutre,0.400,0.650,2,imagination_engine|creative_memory,3.22,False,core_only
18,memory,medium,neutre,0.400,0.650,2,narrative_memory|emotional_memory_mgr,3.59,False,core_only
19,memory,medium,neutre,0.400,0.650,2,narrative_memory|emotional_memory_mgr,3.13,False,core_only
20,meta,high,curiosité,0.500,0.300,2,meta_cognition|proactive_curiosity,21.65,False,core_only
21,meta,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,2.71,False,core_only
22,complex,extreme,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,2.84,False,core_only
23,science,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,3.73,False,core_only
24,science,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,4.11,False,core_only
25,science,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,0.84,False,core_only
26,science,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,0.98,False,core_only
27,science,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,1.33,False,core_only
28,science,high,joie,0.500,0.300,2,meta_cognition|proactive_curiosity|proactive_curiosity|meta_cognition,2.85,False,core_only
29,daily_life,low,neutre,0.400,0.650,2,,3.95,False,core_only
30,daily_life,low,neutre,0.400,0.650,2,,22.67,False,core_only
31,daily_life,low,neutre,0.400,0.650,2,,2.16,False,core_only
32,daily_life,low,neutre,0.400,0.650,2,,3.28,False,core_only
33,daily_life,low,neutre,0.400,0.650,2,,3.08,False,core_only
34,daily_life,low,neutre,0.400,0.650,2,,4.03,False,core_only
35,emotional,medium,neutre,0.400,0.650,2,emotional_journal|contextual_empathy,3.21,False,core_only
36,emotional,medium,peur,0.500,0.300,2,emotional_journal|contextual_empathy,4.56,False,core_only
37,emotional,medium,neutre,0.400,0.650,2,emotional_journal|contextual_empathy,5.34,False,core_only
38,emotional,medium,neutre,0.400,0.650,2,emotional_journal|contextual_empathy,2.76,False,core_only
39,emotional,medium,neutre,0.400,0.650,2,emotional_journal|contextual_empathy,2.86,False,core_only
40,emotional,medium,joie,0.500,0.300,2,emotional_journal|contextual_empathy,24.87,False,core_only
41,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,3.00,False,core_only
42,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,3.24,False,core_only
43,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,3.98,False,core_only
44,philosophy,high,amour,0.500,0.300,2,meta_cognition|proactive_curiosity,3.95,False,core_only
45,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,3.30,False,core_only
46,philosophy,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity,3.28,False,core_only
47,creativity,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,1.54,False,core_only
48,creativity,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,4.12,False,core_only
49,creativity,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,3.50,False,core_only
50,creativity,high,neutre,0.400,0.650,2,meta_cognition|proactive_curiosity|imagination_engine|creative_memory,21.74,False,core_only
